iter	Passed	Remaining
0	94	94704
1	150	75073
2	207	69009
3	262	65260
4	306	60916
5	353	58639
6	399	56724
7	447	55517
8	492	54244
9	538	53262
10	587	52861
11	634	52210
12	679	51617
13	731	51506
14	777	51067
15	824	50708
16	870	50350
17	915	49964
18	961	49667
19	1010	49494
20	1060	49457
21	1110	49377
22	1153	49003
23	1205	49037
24	1247	48653
25	1295	48535
26	1348	48585
27	1396	48478
28	1436	48099
29	1481	47915
30	1532	47894
31	1584	47921
32	1625	47620
33	1675	47590
34	1728	47658
35	1784	47793
36	1834	47743
37	1875	47484
38	1922	47383
39	1971	47315
40	2016	47162
41	2063	47070
42	2104	46828
43	2149	46706
44	2188	46436
45	2228	46220
46	2280	46239
47	2331	46250
48	2373	46059
49	2422	46034
50	2467	45912
51	2513	45823
52	2561	45777
53	2605	45643
54	2652	45573
55	2701	45533
56	2743	45382
57	2782	45189
58	2827	45090
59	2867	44919
60	2911	44822
61	2955	44708
62	3001	44641
63	3043	44517
64	3081	44319
65	3133	44341
66	3177	44247
67	3221	44159
68	3275	44202
69	3315	44050
70	3360	43968
71	3404	43883
72	3454	43862
73	3492	43704
74	3542	43685
75	3583	43570
76	3623	43436
77	3663	43298
78	3701	43157
79	3748	43111
80	3789	42990
81	3828	42860
82	3866	42720
83	3905	42592
84	3947	42488
85	3986	42366
86	4027	42268
87	4066	42145
88	4111	42080
89	4153	42000
90	4192	41875
91	4240	41852
92	4279	41733
93	4318	41627
94	4366	41592
95	4416	41591
96	4456	41490
97	4502	41438
98	4543	41353
99	4582	41241
100	4633	41242
101	4671	41124
102	4722	41128
103	4763	41038
104	4807	40981
105	4849	40901
106	4890	40817
107	4931	40733
108	4975	40673
109	5023	40641
110	5064	40564
111	5104	40467
112	5151	40439
113	5197	40392
114	5238	40316
115	5286	40289
116	5330	40227
117	5373	40165
118	5414	40083
119	5465	40079
120	5510	40033
121	5556	39985
122	5593	39878
123	5635	39814
124	5681	39767
125	5721	39687
126	5761	39605
127	5806	39557
128	5854	39530
129	5903	39505
130	5955	39504
131	5997	39439
132	6039	39368
133	6081	39300
134	6131	39287
135	6177	39247
136	6225	39214
137	6266	39141
138	6317	39132
139	6357	39050
140	6395	38964
141	6442	38929
142	6491	38902
143	6535	38852
144	6575	38770
145	6615	38693
146	6655	38621
147	6693	38535
148	6734	38465
149	6779	38418
150	6817	38332
151	6866	38309
152	6907	38239
153	6953	38200
154	6993	38126
155	7034	38058
156	7073	37982
157	7119	37942
158	7165	37901
159	7209	37851
160	7255	37810
161	7296	37742
162	7343	37707
163	7392	37683
164	7431	37605
165	7479	37575
166	7520	37514
167	7564	37464
168	7608	37411
169	7653	37366
170	7703	37347
171	7741	37266
172	7776	37176
173	7819	37122
174	7857	37044
175	7906	37014
176	7948	36960
177	7998	36936
178	8037	36862
179	8076	36793
180	8117	36732
181	8154	36649
182	8196	36590
183	8236	36527
184	8275	36458
185	8316	36394
186	8365	36371
187	8405	36304
188	8443	36233
189	8484	36168
190	8533	36142
191	8576	36092
192	8624	36063
193	8673	36036
194	8714	35974
195	8758	35927
196	8796	35857
197	8844	35824
198	8891	35789
199	8931	35724
200	8973	35671
201	9018	35625
202	9068	35605
203	9111	35553
204	9162	35531
205	9209	35495
206	9260	35477
207	9309	35449
208	9358	35418
209	9398	35356
210	9447	35327
211	9495	35294
212	9534	35229
213	9575	35170
214	9622	35131
215	9671	35102
216	9711	35042
217	9751	34979
218	9793	34923
219	9840	34888
220	9882	34834
221	9928	34794
222	9967	34731
223	10006	34666
224	10054	34632
225	10105	34609
226	10143	34542
227	10184	34483
228	10238	34472
229	10288	34442
230	10336	34410
231	10379	34361
232	10425	34318
233	10471	34278
234	10534	34293
235	10589	34280
236	10633	34232
237	10683	34205
