iter	Logloss
0	0.6757730497
1	0.6621594162
2	0.6506765728
3	0.6412648585
4	0.6333299392
5	0.6270206054
6	0.6212331721
7	0.6164873151
8	0.6126358822
9	0.609336435
10	0.6063535866
11	0.6040288307
12	0.6020676778
13	0.6000945178
14	0.5982974969
15	0.5967420702
16	0.595408465
17	0.5943130671
18	0.5932639984
19	0.5924280461
20	0.5914912095
21	0.5907300157
22	0.5898927967
23	0.5892149147
24	0.5886380881
25	0.5879547907
26	0.5874556624
27	0.5870517475
28	0.586554005
29	0.5862132425
30	0.5857550523
31	0.5853920805
32	0.5850253189
33	0.5846276412
34	0.5843597891
35	0.5840530753
36	0.5838359751
37	0.5835970706
38	0.5833785092
39	0.5831656103
40	0.5829861605
41	0.5826893555
42	0.582355969
43	0.582113071
44	0.581891283
45	0.5816267328
46	0.5814857605
47	0.5813384353
48	0.5811965307
49	0.5809920497
50	0.5808621422
51	0.5805755213
52	0.580337649
53	0.5801819981
54	0.580096981
55	0.5798815625
56	0.5797378702
57	0.5796514592
58	0.579516616
59	0.5793423042
60	0.5792117855
61	0.5791175243
62	0.5789069139
63	0.5787448847
64	0.5786300416
65	0.5784931492
66	0.5783912757
67	0.5782521219
68	0.5781065822
69	0.5780299082
70	0.5779570699
71	0.5778255947
72	0.5777646005
73	0.5776448916
74	0.5775448916
75	0.5774556703
76	0.5773521357
77	0.5772601982
78	0.5771414267
79	0.5769927994
80	0.5768922569
81	0.5767863479
82	0.5767359706
83	0.576658378
84	0.5765793609
85	0.5765181802
86	0.5764799045
87	0.5763837751
88	0.5763279268
89	0.5762318865
90	0.5761681494
91	0.5761032808
92	0.5760320555
93	0.5759714019
94	0.5759048361
95	0.5758478806
96	0.5757559669
97	0.5757275423
98	0.5756878759
99	0.5756418304
100	0.5755256817
101	0.5754026988
102	0.5753441354
103	0.5753030412
104	0.5752683308
105	0.5752377787
106	0.5751958479
107	0.575120641
108	0.5750955686
109	0.5750356185
110	0.5749903374
111	0.5749666268
112	0.5748919813
113	0.5748656449
114	0.5748240945
115	0.5747425435
116	0.5746922337
117	0.5746527196
118	0.5746085187
119	0.574565764
120	0.5744914238
121	0.5744442426
122	0.5743803145
123	0.5743371681
124	0.5742935431
125	0.5742624574
126	0.574206079
127	0.5741216473
128	0.5740399717
129	0.5739876641
130	0.5739772197
131	0.5739254048
132	0.5738633166
133	0.5738111358
134	0.5737903401
135	0.5736997093
136	0.5736026641
137	0.5735740856
138	0.5735206924
139	0.5734790427
140	0.5734226961
141	0.5733804126
142	0.5733428391
143	0.5733013708
144	0.5732711218
145	0.5732288343
146	0.5731557858
147	0.5731279111
148	0.5730828494
149	0.5730064278
150	0.5729476347
151	0.5728708812
152	0.5728122536
153	0.5727756335
154	0.5727431015
155	0.5726904109
156	0.5726629391
157	0.5726206646
158	0.5725645744
159	0.5725256689
160	0.5724686104
161	0.572417783
162	0.5723753535
163	0.5723064062
164	0.5722597881
165	0.5722254741
166	0.5721878223
167	0.5721566521
168	0.5721280648
169	0.5720912269
170	0.5720626068
171	0.5720328567
172	0.5719827688
173	0.5719198019
174	0.5718812505
175	0.5718012105
176	0.5717710505
177	0.5717452959
178	0.57170488
