iter	Passed	Remaining
0	257	257146
1	401	200109
2	588	195565
3	738	183842
4	900	179217
5	1052	174432
6	1229	174372
7	1410	174845
8	1573	173289
9	1726	170908
10	1879	168964
11	2021	166406
12	2174	165117
13	2329	164064
14	2481	162964
15	2642	162515
16	2820	163115
17	2961	161576
18	3123	161272
19	3262	159864
20	3437	160239
21	3585	159407
22	3745	159085
23	3909	158978
24	4063	158465
25	4233	158604
26	4385	158038
27	4542	157695
28	4696	157252
29	4864	157289
30	5027	157141
31	5190	157004
32	5355	156918
33	5519	156823
34	5687	156815
35	5888	157690
36	6085	158398
37	6259	158464
38	6487	159858
39	6655	159729
40	6881	160959
41	7109	162172
42	7358	163760
43	7580	164700
44	7809	165742
45	8012	166180
46	8264	167570
47	8410	166807
48	8584	166605
49	8753	166322
50	8910	165810
51	9079	165531
52	9264	165544
53	9428	165168
54	9597	164904
55	9741	164209
56	9914	164019
57	10081	163731
58	10236	163265
59	10405	163011
60	10588	162998
61	10782	163121
62	10973	163205
63	11147	163030
64	11323	162891
65	11486	162558
66	11676	162599
67	11858	162532
68	12035	162393
69	12215	162297
70	12380	161989
71	12551	161779
72	12708	161374
73	12862	160957
74	13023	160621
75	13175	160182
76	13332	159811
77	13513	159742
78	13670	159375
79	13821	158944
80	13991	158743
81	14143	158334
82	14303	158028
83	14455	157634
84	14615	157333
85	14761	156879
86	14918	156559
87	15073	156218
88	15233	155933
89	15398	155692
90	15553	155361
91	15725	155203
92	15886	154935
93	16051	154706
94	16224	154558
95	16402	154454
96	16570	154263
97	16717	153866
98	16885	153675
99	17047	153426
100	17226	153330
101	17368	152906
102	17527	152640
103	17694	152449
104	17866	152292
105	18020	151987
106	18198	151883
107	18363	151672
108	18536	151523
109	18695	151264
110	18855	151011
111	19001	150657
112	19182	150575
113	19307	150058
114	19479	149910
115	19646	149722
116	19822	149596
117	19980	149346
118	20137	149087
119	20308	148925
120	20470	148707
121	20638	148528
122	20827	148499
123	21009	148424
124	21227	148594
125	21429	148647
126	21735	149411
127	21954	149566
128	22193	149847
129	22424	150072
130	22633	150142
131	22879	150447
132	23145	150881
133	23346	150878
134	23564	150988
135	23731	150764
136	23906	150592
137	24069	150344
138	24230	150086
139	24409	149942
140	24605	149900
141	24759	149605
142	24931	149415
143	25105	149236
144	25285	149098
145	25469	148977
146	25666	148934
147	25830	148700
148	25988	148431
149	26165	148270
150	26339	148096
151	26483	147751
152	26638	147471
153	26815	147310
154	27009	147245
155	27180	147051
156	27343	146817
157	27491	146504
158	27660	146307
159	27825	146082
160	27980	145810
161	28132	145523
162	28321	145429
163	28500	145281
164	28710	145292
165	28850	144945
166	29039	144849
167	29216	144691
168	29419	144662
169	29672	144870
170	29932	145112
171	30185	145311
