iter	Logloss
0	0.6756218251
1	0.6610933788
2	0.6486548853
3	0.6383552962
4	0.630061096
5	0.6227624679
6	0.6163041667
7	0.6112915395
8	0.6069658051
9	0.6027346542
10	0.5991862916
11	0.5961477266
12	0.5933964735
13	0.5909962722
14	0.5888394409
15	0.5869067854
16	0.5853323644
17	0.5839390826
18	0.5826170856
19	0.5813657094
20	0.5803120111
21	0.5792755756
22	0.5784417071
23	0.5775873766
24	0.5769060973
25	0.5763246528
26	0.5756006388
27	0.5750166593
28	0.5744887538
29	0.5739919335
30	0.5734675893
31	0.5729181958
32	0.5724680335
33	0.5721120323
34	0.5716160571
35	0.5712471993
36	0.5709478758
37	0.570624167
38	0.5702523516
39	0.5698769146
40	0.5695046163
41	0.5692943837
42	0.5689053657
43	0.5685986784
44	0.5684095716
45	0.5681342109
46	0.5677382516
47	0.5674538973
48	0.5672536844
49	0.5670554633
50	0.566911083
51	0.5666616166
52	0.5665340766
53	0.5663131
54	0.566199322
55	0.5659781643
56	0.5658689737
57	0.5655934923
58	0.5653881487
59	0.5651082007
60	0.5649527746
61	0.5648276491
62	0.5646419828
63	0.5645228328
64	0.5643940857
65	0.5642422812
66	0.5641018243
67	0.5639461568
68	0.5638220573
69	0.5635955276
70	0.5634880874
71	0.5633855364
72	0.5633016968
73	0.5631673363
74	0.5630562141
75	0.5629348913
76	0.5628560012
77	0.5627466899
78	0.5626505973
79	0.5625683875
80	0.5624606455
81	0.5623642512
82	0.5622614587
83	0.5621295728
84	0.5620340235
85	0.5618272314
86	0.5616949834
87	0.5615787307
88	0.5614350747
89	0.5613494848
90	0.561278864
91	0.5611784859
92	0.5611102795
93	0.560968555
94	0.5608822407
95	0.5608153623
96	0.560701705
97	0.5605654733
98	0.5604928003
99	0.5603602505
100	0.5602751434
101	0.5601742824
102	0.5600706449
103	0.5600183735
104	0.5599199873
105	0.5598267316
106	0.5597604567
107	0.5595968821
108	0.5595094209
109	0.5594241328
110	0.5593413797
111	0.5592830119
112	0.5592170388
113	0.5591274047
114	0.5590544903
115	0.5589731858
116	0.5588964084
117	0.5588036356
118	0.5587452074
119	0.5586720516
120	0.5586404835
121	0.5585658186
122	0.5584638108
123	0.5584157041
124	0.5583416428
125	0.5582870174
126	0.558217302
127	0.5581381101
128	0.5580680326
129	0.558003327
130	0.5579649986
131	0.5578874969
132	0.55782593
133	0.5577591723
134	0.557665313
135	0.5576188361
