iter	Passed	Remaining
0	47	47364
1	93	46513
2	142	47310
3	183	45581
4	223	44423
5	262	43407
6	293	41574
7	332	41281
8	369	40668
9	404	40022
10	439	39472
11	477	39355
12	517	39255
13	556	39209
14	593	38983
15	629	38708
16	673	38930
17	723	39465
18	771	39831
19	811	39779
20	862	40191
21	917	40805
22	965	41000
23	1010	41086
24	1057	41228
25	1108	41536
26	1157	41709
27	1203	41790
28	1246	41734
29	1292	41803
30	1345	42050
31	1391	42085
32	1442	42259
33	1487	42268
34	1534	42308
35	1578	42280
36	1625	42308
37	1670	42291
38	1717	42310
39	1767	42416
40	1807	42277
41	1853	42276
42	1901	42324
43	1942	42198
44	1989	42225
45	2037	42250
46	2088	42340
47	2128	42223
48	2175	42231
49	2222	42234
50	2272	42278
51	2316	42236
52	2363	42232
53	2405	42136
54	2452	42142
55	2497	42105
56	2539	42012
57	2580	41912
58	2626	41890
59	2671	41859
60	2710	41728
61	2757	41717
62	2803	41703
63	2848	41659
64	2894	41632
65	2935	41534
66	2975	41435
67	3016	41340
68	3059	41281
69	3114	41376
70	3157	41314
71	3204	41305
72	3256	41353
73	3296	41256
74	3336	41152
75	3382	41118
76	3433	41161
77	3478	41118
78	3526	41117
79	3567	41025
80	3617	41042
81	3658	40952
82	3703	40913
83	3749	40886
84	3797	40874
85	3847	40889
86	3889	40819
87	3929	40719
88	3976	40706
89	4024	40690
90	4063	40594
91	4112	40584
92	4154	40519
93	4201	40498
94	4243	40429
95	4292	40420
96	4332	40330
97	4379	40310
98	4418	40214
99	4461	40153
100	4504	40092
101	4550	40059
102	4597	40040
103	4648	40047
104	4693	40007
105	4739	39971
106	4779	39889
107	4822	39833
108	4873	39834
109	4918	39792
110	4958	39709
111	5006	39691
112	5050	39643
113	5099	39632
114	5138	39546
115	5179	39468
116	5229	39463
117	5278	39451
118	5326	39432
119	5366	39354
120	5410	39302
121	5449	39220
122	5498	39207
123	5541	39145
124	5593	39153
125	5642	39137
126	5687	39093
127	5734	39067
128	5777	39011
129	5828	39009
130	5885	39045
131	5929	38988
132	5969	38914
133	6024	38931
134	6073	38916
135	6114	38847
136	6158	38794
137	6207	38773
138	6254	38741
139	6295	38674
140	6343	38647
141	6387	38594
142	6428	38525
143	6476	38500
144	6520	38450
145	6562	38385
146	6602	38311
147	6645	38258
148	6692	38220
149	6735	38168
150	6786	38155
151	6831	38111
152	6872	38044
153	6920	38018
154	6968	37989
155	7017	37966
156	7066	37940
157	7118	37933
158	7159	37867
159	7208	37844
160	7249	37776
161	7290	37710
162	7339	37688
163	7380	37625
164	7425	37577
165	7478	37570
166	7525	37536
167	7570	37493
168	7613	37436
169	7659	37394
170	7708	37368
171	7759	37356
172	7807	37322
173	7847	37252
174	7887	37182
175	7936	37157
176	7984	37127
177	8033	37096
178	8090	37105
179	8138	37077
180	8187	37049
181	8231	36995
182	8278	36958
183	8318	36891
184	8359	36827
185	8402	36773
186	8451	36742
187	8507	36743
188	8550	36689
189	8596	36650
190	8653	36651
191	8700	36614
192	8751	36592
193	8795	36541
194	8846	36519
195	8899	36504
196	8941	36447
197	8979	36372
198	9018	36301
199	9052	36211
200	9091	36138
201	9128	36062
202	9165	35983
203	9203	35911
204	9235	35814
205	9269	35729
206	9312	35674
207	9346	35589
208	9380	35501
209	9416	35423
210	9447	35328
211	9484	35252
212	9518	35170
213	9557	35103
214	9587	35005
215	9619	34916
216	9651	34824
217	9685	34744
218	9717	34653
219	9751	34571
220	9785	34492
221	9817	34405
222	9854	34337
223	9891	34268
224	9924	34184
225	9967	34137
226	10000	34055
227	10031	33964
228	10068	33897
229	10103	33824
230	10140	33757
231	10178	33694
232	10211	33613
233	10246	33540
234	10280	33466
235	10320	33408
236	10353	33330
237	10389	33262
238	10432	33218
239	10468	33150
240	10509	33097
241	10540	33014
242	10572	32936
243	10603	32852
244	10639	32787
245	10677	32725
246	10716	32669
247	10750	32599
248	10786	32531
249	10824	32472
250	10860	32409
251	10893	32333
252	10924	32255
253	10959	32187
254	10998	32131
255	11037	32076
256	11074	32016
257	11109	31951
258	11144	31885
259	11177	31814
260	11212	31747
261	11246	31678
262	11283	31619
263	11322	31565
264	11358	31504
265	11399	31455
266	11430	31381
267	11463	31311
268	11503	31259
269	11539	31200
270	11571	31127
271	11608	31071
272	11645	31012
273	11686	30964
274	11722	30905
275	11760	30849
276	11800	30799
277	11836	30739
278	11872	30682
279	11909	30623
280	11947	30569
281	11983	30511
282	12014	30440
283	12054	30390
284	12096	30346
285	12133	30290
286	12170	30234
287	12201	30165
288	12238	30108
289	12272	30047
290	12308	29989
291	12348	29941
292	12383	29879
293	12415	29814
294	12456	29769
295	12489	29704
296	12524	29645
297	12559	29585
298	12594	29526
299	12639	29492
300	12678	29442
301	12716	29391
302	12752	29335
303	12789	29281
304	12827	29229
305	12865	29178
306	12905	29131
307	12935	29062
308	12974	29013
309	13008	28954
310	13044	28899
311	13077	28838
312	13112	28779
313	13148	28725
314	13182	28666
315	13218	28611
316	13253	28556
317	13283	28488
318	13320	28437
319	13354	28378
320	13385	28314
321	13427	28271
322	13470	28233
323	13511	28191
324	13547	28137
325	13585	28087
326	13621	28034
327	13663	27992
328	13705	27952
329	13736	27889
330	13772	27836
331	13811	27788
332	13849	27739
333	13888	27693
